Hugo Symbol	Alteration	Marker	RefSeq	tag	oncoKB_annotation
ATM	Truncating Mutations	Oncogenic Mutations	NM_000051	ATM/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=Olaparib;Tumor_type=All_Solid_Tumors
BRCA1	Truncating Mutations	Oncogenic Mutations	NM_007294	BRCA1/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=1|1|2A|2A|2A;Drug=Niraparib/Rucaparib|Niraparib/Rucaparib|Olaparib/Talazoparib|Olaparib|Olaparib;Tumor_type=Ovarian_Cancer|Peritoneal_Serous_Carcinoma|Breast_Cancer|Ovarian_Cancer|Peritoneal_Serous_Carcinoma
BRCA2	Truncating Mutations	Oncogenic Mutations	NM_000059	BRCA2/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=1|1|2A|2A|2A;Drug=Niraparib/Rucaparib|Niraparib/Rucaparib|Olaparib/Talazoparib|Olaparib|Olaparib;Tumor_type=Ovarian_Cancer|Peritoneal_Serous_Carcinoma|Breast_Cancer|Ovarian_Cancer|Peritoneal_Serous_Carcinoma
CDKN2A	Truncating Mutations	Oncogenic Mutations	NM_000077	CDKN2A/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=Abemaciclib/Palbociclib/Ribociclib;Tumor_type=All_Solid_Tumors
ERBB2	Exon 20 deletions	Oncogenic Mutations	NM_004448	ERBB2/Exon 20 deletions	Biomarker=Exon 20 deletions;Evidence_level=2A|3A|3A;Drug=Ado_Trastuzumab_Emtansine|Neratinib|Neratinib;Tumor_type=Non_Small_Cell_Lung_Cancer|Breast_Cancer|Non_Small_Cell_Lung_Cancer
ERBB2	Exon 20 insertions	Oncogenic Mutations	NM_004448	ERBB2/Exon 20 insertions	Biomarker=Exon 20 insertions;Evidence_level=2A|3A|3A;Drug=Ado_Trastuzumab_Emtansine|Neratinib|Neratinib;Tumor_type=Non_Small_Cell_Lung_Cancer|Breast_Cancer|Non_Small_Cell_Lung_Cancer
ERCC2	Truncating Mutations	Oncogenic Mutations	NM_000400	ERCC2/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=3A;Drug=Cisplatin;Tumor_type=Bladder_Cancer
EZH2	Truncating Mutations	Oncogenic Mutations	NM_004456	EZH2/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=3A;Drug=Tazemetostat;Tumor_type=Follicular_Lymphoma
KDM6A	Truncating Mutations	Oncogenic Mutations	NM_021140	KDM6A/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=Tazemetostat;Tumor_type=Bladder_Cancer
KIT	Exon 11 deletions	Oncogenic Mutations	NM_000222	KIT/Exon 11 deletions	Biomarker=Exon 11 deletions;Evidence_level=1|2A|2A;Drug=Imatinib/Regorafenib/Sunitinib|Imatinib|Sorafenib/Sunitinib;Tumor_type=Gastrointestinal_Stromal_Tumor|Melanoma|Thymic_Tumor
NF1	Truncating Mutations	Oncogenic Mutations	NM_001042492	NF1/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=Cobimetinib/Trametinib;Tumor_type=All_Solid_Tumors
PTEN	Truncating Mutations	Oncogenic Mutations	NM_000314	PTEN/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=AZD8186/GSK2636771;Tumor_type=All_Solid_Tumors
SMARCB1	Truncating Mutations	Oncogenic Mutations	NM_003073	SMARCB1/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=4;Drug=Tazemetostat;Tumor_type=All_Liquid_Tumors
TSC1	Truncating Mutations	Oncogenic Mutations	NM_000368	TSC1/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=1|2A;Drug=Everolimus|Everolimus;Tumor_type=CNS_Cancer|Renal_Cell_Carcinoma
TSC2	Truncating Mutations	Oncogenic Mutations	NM_000548	TSC2/Truncating Mutations	Biomarker=Truncating Mutations;Evidence_level=1|2A;Drug=Everolimus|Everolimus;Tumor_type=CNS_Cancer|Renal_Cell_Carcinoma
